ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 67,EMG0L,-16,-9,0,-10,9,9,63,-30,52,-6,-37,-37,108,67,16,-33,-14,-43,-26,8,-15,6,-2,-2,-1,-1,1,-2,0,-3,0,-1,-1,-1,-2,0,-2,-1,0,-1,-1,0,-2,0,0,0
Action 67,EMG1L,-27,-1,-1,36,8,-29,13,-16,-8,-7,-1,14,36,37,37,20,-8,-15,8,-9,-1,-1,-4,-5,-1,0,-2,-1,-1,-2,0,0,-1,1,0,-1,-1,1,-1,0,0,-3,1,-1,-1,0
Action 67,EMG2L,33,-6,-26,47,-15,0,5,-11,-13,7,-2,25,-6,2,17,-3,-9,11,-4,-2,-6,2,-3,-6,-3,-1,-1,0,-1,-2,-3,0,0,-2,0,-2,-1,-3,-2,-1,-1,0,-1,-2,0,0
Action 67,EMG3L,35,18,-15,116,-38,20,5,-9,-3,3,0,7,-1,38,96,-40,-24,-19,-1,-20,0,4,-3,-1,-3,1,2,5,-4,-4,-2,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
Action 67,EMG4L,1,7,-3,29,-8,-17,-15,-4,-13,3,9,0,-16,-24,14,9,-20,-5,-2,4,-2,0,-1,-1,0,1,-1,-1,-2,-2,0,-1,0,-2,0,0,-1,-1,0,0,0,-1,-1,-1,0,0
Action 67,EMG5L,-2,-2,2,-10,-13,-36,41,32,-9,-14,-30,-16,-47,-63,45,35,-7,17,-20,-8,0,-1,-1,-1,-1,1,-3,0,-3,-2,-1,-2,-2,-3,-1,-1,1,0,-2,-2,0,2,-1,-2,0,0
Action 67,EMG6L,-3,-1,0,5,-6,25,9,8,28,-11,-18,-11,-6,11,1,16,-6,4,1,2,-1,5,-2,1,-2,0,-1,0,-2,-1,-1,-2,-3,-2,0,-2,0,-1,-1,-2,0,0,0,-1,-1,0
Action 67,EMG7L,-1,4,-4,2,1,-2,20,-18,24,-10,30,-4,21,22,12,9,11,30,3,6,13,-3,-7,0,-3,0,1,-3,-1,-1,0,-1,-1,-1,-1,-2,-1,-2,-1,-1,-1,0,0,1,0,0
Action 67,EMG0R,-3,0,-1,-1,-3,-1,-2,24,-15,30,23,-2,2,-67,5,-75,-53,28,3,8,3,0,1,-1,1,0,-1,-2,-2,-2,-1,-2,0,-2,-1,-1,0,-2,-1,-1,-3,-1,0,0,0,0
Action 67,EMG1R,0,0,0,-2,-2,-5,-5,2,-14,17,38,24,-16,-3,-18,17,-18,8,5,0,-5,3,2,-2,-1,-1,0,-2,-2,0,-1,1,0,-1,-1,-4,0,-1,-3,-2,-1,-1,1,-3,-3,0
Action 67,EMG2R,14,9,-3,-7,-16,-38,13,-19,58,-15,-81,30,16,-59,23,38,-16,13,-11,-17,-49,69,-11,1,-4,29,15,-36,1,-7,-9,-8,8,5,-3,-29,13,1,-4,-4,2,-10,-10,-2,-2,0
Action 67,EMG3R,5,3,5,-2,-11,-17,-1,-12,-3,6,-3,22,-28,2,29,-18,-30,-3,-9,-12,1,6,-1,-4,-3,-1,5,-3,-1,1,-3,0,-1,-3,1,-3,-1,1,-3,0,1,-1,-3,-3,0,0
Action 67,EMG4R,13,3,28,-27,-16,-26,3,-17,5,-3,1,38,-68,6,-6,-17,11,-2,-18,-6,6,4,-5,-4,-11,11,27,-8,-5,0,-3,0,0,-3,-5,-2,-5,7,-1,-11,10,-7,-1,-5,0,0
